seqName,strand,individual,locus,allele
G4S72XW01AZ1KO,F,136,1,Mama_DRB1_01
G4S72XW01AL2RD,F,106,2,NewAllele_530 count=9 threshold=2
G4S72XW01ALI8N,F,46,2,NewAllele_381 count=782 threshold=2
G4S72XW01AU18M,R,20,3,NewAllele_852 count=38 threshold=2
G4S72XW01AT6CK,R,99,3,NewAllele_758 count=2 threshold=2
G4S72XW01AZM66,F,57,2,NewAllele_530 count=9 threshold=2
G4S72XW01AWAQB,R,57,3,<unidentified>
G4S72XW01ATALE,R,101,1,Mama_DRB1_02
G4S72XW01AOG0O,F,87,4,Mama_UD_01
G4S72XW01AUU52,R,138,1,Mama_DRB1_01
G4S72XW01AMCO7,R,24,4,NewAllele_1430 count=2 threshold=2
G4S72XW01AQPG1,R,100,1,Mama_DRB1_01
G4S72XW01AR147,R,101,4,Mama_UD_01
G4S72XW01AVT7K,F,82,4,Mama_UD_01
G4S72XW01AQ0D1,F,136,2,NewAllele_530 count=9 threshold=2
G4S72XW01AMGGT,R,75,4,Mama_UD_02
G4S72XW01APBTQ,F,57,2,NewAllele_530 count=9 threshold=2
G4S72XW01AT9AF,F,61,3,NewAllele_764 count=2 threshold=2
G4S72XW01A48SW,F,101,4,NewAllele_1639 count=37 threshold=2
G4S72XW01ALANG,R,55,4,Mama_UD_01
G4S72XW01AT2KU,R,37,3,<unidentified>
G4S72XW01AKUQN,R,57,3,<unidentified>
G4S72XW01AQKMI,F,72,4,NewAllele_1639 count=37 threshold=2
G4S72XW01ASVFM,F,95,3,NewAllele_885 count=11 threshold=2
G4S72XW01A0KOM,F,115,1,Mama_DRB1_01
G4S72XW01AL0GN,F,76,2,NewAllele_530 count=9 threshold=2
G4S72XW01AK37D,F,95,4,NewAllele_1472 count=2 threshold=2
G4S72XW01ANUQ0,R,99,4,Mama_UD_01
G4S72XW01AMIB2,F,71,3,NewAllele_885 count=11 threshold=2
G4S72XW01AKSAH,R,98,1,<unidentified>
G4S72XW01ANXWD,R,20,4,NewAllele_1446 count=3 threshold=2
G4S72XW01AVN7K,F,114,2,NewAllele_530 count=9 threshold=2
G4S72XW01ALZ7J,F,59,2,NewAllele_530 count=9 threshold=2
G4S72XW01AMC8J,F,126,3,<unidentified>
G4S72XW01ARO6J,F,57,4,NewAllele_1649 count=20 threshold=2
G4S72XW01AKL6M,R,83,4,NewAllele_1615 count=5 threshold=2
G4S72XW01AMFJL,F,121,3,NewAllele_1000 count=2 threshold=2
G4S72XW01ARF3O,R,15,3,NewAllele_855 count=6 threshold=2
G4S72XW01AN7G5,F,89,3,NewAllele_746 count=2 threshold=2
G4S72XW01AK7XY,R,89,3,NewAllele_855 count=6 threshold=2
G4S72XW01AZ2E9,F,133,1,<unidentified>
G4S72XW01A2QU0,F,62,2,NewAllele_381 count=782 threshold=2
G4S72XW01AUU28,R,130,2,NewAllele_530 count=9 threshold=2
G4S72XW01A6PEJ,R,101,1,<unidentified>
G4S72XW01A3E16,R,124,3,NewAllele_1036 count=17 threshold=2
G4S72XW01ASKFZ,F,22,2,NewAllele_530 count=9 threshold=2
G4S72XW01AVD29,F,35,3,NewAllele_1046 count=23 threshold=2
G4S72XW01ARK4U,R,114,1,Mama_DRB1_02
G4S72XW01AQ0XW,F,9,2,NewAllele_530 count=9 threshold=2
G4S72XW01AKYSJ,F,57,2,NewAllele_530 count=9 threshold=2
G4S72XW01AOGUW,F,31,3,Mama_UB_01
G4S72XW01AM5BQ,R,57,2,NewAllele_176 count=297 threshold=2
G4S72XW01ALD62,R,51,3,Mama_UB_02
G4S72XW01ALDZ9,F,34,3,NewAllele_1046 count=23 threshold=2
G4S72XW01AK8I5,R,56,3,Mama_UB_01
G4S72XW01ALKJO,F,35,1,Mama_DRB1_02
G4S72XW01AQBAA,R,24,3,Mama_UB_02
G4S72XW01ATMLC,F,35,4,Mama_UD_01
G4S72XW01AKYZD,F,57,2,NewAllele_530 count=9 threshold=2
G4S72XW01ALANY,F,66,3,NewAllele_892 count=3 threshold=2
G4S72XW01AVPVY,R,104,1,Mama_DRB1_01
G4S72XW01A6XJX,R,107,2,NewAllele_530 count=9 threshold=2
G4S72XW01AV3LK,R,24,4,Mama_UD_01
G4S72XW01AL6PZ,F,130,3,NewAllele_885 count=11 threshold=2
G4S72XW01ARL7Z,F,64,2,NewAllele_221 count=591 threshold=2
G4S72XW01A30FA,F,14,2,Mama_DRB2_01
G4S72XW01ALBTR,F,22,4,Mama_UD_03
G4S72XW01AMYRB,R,111,3,Mama_UB_01
G4S72XW01AN13A,F,31,4,NewAllele_1639 count=37 threshold=2
G4S72XW01AZAIQ,F,139,2,NewAllele_508 count=182 threshold=2
G4S72XW01ALZQT,R,59,3,<unidentified>
G4S72XW01AO9NB,F,108,4,NewAllele_1639 count=37 threshold=2
G4S72XW01A4KVM,R,104,3,Mama_UB_01
G4S72XW01A6WB3,R,8,3,Mama_UB_01
G4S72XW01A80A5,F,87,3,<unidentified>
G4S72XW01AMCYO,F,62,2,Mama_DRB2_01
G4S72XW01AMMCW,F,84,4,Mama_UD_01
G4S72XW01A6C36,F,29,1,<unidentified>
G4S72XW01AL28M,R,70,2,NewAllele_176 count=297 threshold=2
G4S72XW01ATV9A,F,38,3,NewAllele_746 count=2 threshold=2
G4S72XW01ASVA2,F,55,3,<unidentified>
G4S72XW01AS99S,R,23,3,Mama_UB_02
G4S72XW01A7PFU,F,87,4,Mama_UD_01
G4S72XW01ATS9P,F,72,4,NewAllele_1369 count=3 threshold=2
G4S72XW01ASKX7,F,44,2,NewAllele_176 count=297 threshold=2
G4S72XW01AOC98,F,57,2,NewAllele_508 count=182 threshold=2
G4S72XW01AZ8LX,F,76,2,NewAllele_530 count=9 threshold=2
G4S72XW01AR2BH,R,33,3,Mama_UB_02
G4S72XW01AMO37,F,64,4,NewAllele_1369 count=3 threshold=2
G4S72XW01APW78,R,101,3,Mama_UB_01
G4S72XW01AO8H2,R,33,4,NewAllele_1615 count=5 threshold=2
G4S72XW01A2LAO,R,89,1,Mama_DRB1_01
G4S72XW01AOTPE,F,89,1,Mama_DRB1_01
G4S72XW01AZ1WD,R,5,1,Mama_DRB1_01
G4S72XW01AS67P,R,3,3,<unidentified>
G4S72XW01AN3VN,R,135,3,Mama_UB_02
G4S72XW01A0Q98,F,101,2,NewAllele_594 count=3 threshold=2
G4S72XW01A2AL7,R,119,3,<unidentified>
G4S72XW01AWMXA,R,86,2,NewAllele_221 count=591 threshold=2
G4S72XW01AS61J,F,127,3,Mama_UB_01
G4S72XW01APMPP,F,101,4,Mama_UD_01
G4S72XW01AYZAU,F,55,3,<unidentified>
G4S72XW01AN01I,F,66,3,NewAllele_1046 count=23 threshold=2
G4S72XW01A2EZ8,F,131,2,NewAllele_508 count=182 threshold=2
G4S72XW01ALVO1,R,95,3,Mama_UB_02
G4S72XW01A190Y,F,134,2,NewAllele_530 count=9 threshold=2
G4S72XW01ARLZE,F,64,3,<unidentified>
G4S72XW01AYAOC,R,128,3,Mama_UB_02
G4S72XW01AOCXM,F,60,4,NewAllele_1258 count=9 threshold=2
G4S72XW01AOO9V,R,104,3,NewAllele_810 count=8 threshold=2
G4S72XW01BC49E,F,55,3,NewAllele_895 count=9 threshold=2
G4S72XW01AOZQX,F,64,3,NewAllele_1046 count=23 threshold=2
G4S72XW01A4YSP,F,51,1,Mama_DRB1_01
G4S72XW01AKI0J,R,15,2,NewAllele_223 count=2 threshold=2
G4S72XW01AR1LP,R,40,3,NewAllele_1150 count=3 threshold=2
G4S72XW01AMFZE,F,111,2,NewAllele_221 count=591 threshold=2
G4S72XW01APZ5G,R,67,3,NewAllele_1203 count=4 threshold=2
G4S72XW01ALT5Q,F,20,4,NewAllele_1727 count=2 threshold=2
G4S72XW01A3J8A,R,19,4,Mama_UD_01
G4S72XW01A0HL8,F,87,4,Mama_UD_01
G4S72XW01AKFOP,F,69,4,NewAllele_1334 count=3 threshold=2
G4S72XW01AN9KC,F,27,3,<unidentified>
G4S72XW01AZ18L,R,98,1,Mama_DRB1_01
G4S72XW01ATYSY,R,98,4,Mama_UD_01
G4S72XW01AU8DC,R,130,4,Mama_UD_03
G4S72XW01A1RQF,F,130,3,NewAllele_1046 count=23 threshold=2
G4S72XW01AYGRV,R,108,2,NewAllele_381 count=782 threshold=2
G4S72XW01AWMJI,F,38,3,NewAllele_985 count=44 threshold=2
G4S72XW01A9LRZ,F,76,2,NewAllele_530 count=9 threshold=2
G4S72XW01ALKPI,F,129,2,NewAllele_221 count=591 threshold=2
G4S72XW01ATWRD,F,89,3,<unidentified>
G4S72XW01AYPSU,R,71,4,Mama_UD_01
G4S72XW01AQ2J0,R,104,3,NewAllele_897 count=6 threshold=2
G4S72XW01APYVN,R,31,3,<unidentified>
G4S72XW01ASF0A,F,40,4,NewAllele_1291 count=8 threshold=2
G4S72XW01A7Z3M,F,15,3,Mama_UB_02
G4S72XW01AJKRG,R,124,4,NewAllele_1334 count=3 threshold=2
G4S72XW01A3WUB,R,116,4,NewAllele_1725 count=3 threshold=2
G4S72XW01AO9I2,F,90,1,Mama_DRB1_02
G4S72XW01AOAV7,R,67,3,<unidentified>
G4S72XW01AKY9T,F,100,1,<unidentified>
G4S72XW01AR0E8,R,117,3,NewAllele_855 count=6 threshold=2
G4S72XW01A41T7,F,23,2,NewAllele_508 count=182 threshold=2
G4S72XW01AO4PP,F,57,3,<unidentified>
G4S72XW01A44XL,F,84,3,NewAllele_765 count=2 threshold=2
G4S72XW01AKX89,F,31,4,Mama_UD_01
G4S72XW01ASLP1,R,89,4,NewAllele_1615 count=5 threshold=2
G4S72XW01AMF5F,F,89,2,NewAllele_381 count=782 threshold=2
G4S72XW01ATC80,F,110,2,NewAllele_221 count=591 threshold=2
G4S72XW01AUPIG,F,109,3,NewAllele_855 count=6 threshold=2
G4S72XW01AXFVQ,F,17,4,Mama_UD_03
G4S72XW01AMPI7,F,118,4,Mama_UD_03
G4S72XW01APYAB,F,51,4,Mama_UD_01
G4S72XW01AYGIQ,F,29,1,<unidentified>
G4S72XW01AUCXI,F,98,1,Mama_DRB1_06
G4S72XW01ALT7P,F,71,4,NewAllele_1634 count=2 threshold=2
G4S72XW01AUILC,F,124,4,NewAllele_1334 count=3 threshold=2
G4S72XW01AQ2WV,R,45,3,<unidentified>
G4S72XW01APPFX,F,61,3,NewAllele_1046 count=23 threshold=2
G4S72XW01AWZ78,R,30,2,NewAllele_381 count=782 threshold=2
G4S72XW01AM1YJ,F,113,3,NewAllele_1046 count=23 threshold=2
G4S72XW01AU774,F,102,2,NewAllele_530 count=9 threshold=2
G4S72XW01AO2FT,F,95,1,Mama_DRB1_03
G4S72XW01AMVFK,F,64,4,NewAllele_1477 count=2 threshold=2
G4S72XW01A9CU3,R,99,1,Mama_DRB1_06
G4S72XW01AMUC2,R,116,4,Mama_UD_01
G4S72XW01AZ4ZY,R,110,2,NewAllele_297 count=6 threshold=2
G4S72XW01AUFDR,F,123,4,NewAllele_1608 count=3 threshold=2
G4S72XW01AMY24,R,57,1,Mama_DRB1_03
G4S72XW01A02XA,F,24,4,NewAllele_1639 count=37 threshold=2
G4S72XW01AK4WE,F,139,2,NewAllele_508 count=182 threshold=2
G4S72XW01APKZ2,R,101,4,Mama_UD_01
G4S72XW01A3PUK,F,102,2,NewAllele_530 count=9 threshold=2
G4S72XW01AT5A9,F,82,3,<unidentified>
G4S72XW01ASN5I,F,99,2,NewAllele_386 count=10 threshold=2
G4S72XW01ANC9D,F,15,3,<unidentified>
G4S72XW01A0CBG,R,90,3,NewAllele_855 count=6 threshold=2
G4S72XW01A1AJW,R,116,4,NewAllele_1658 count=4 threshold=2
G4S72XW01AWI7H,R,35,3,<unidentified>
G4S72XW01A7K20,R,17,4,NewAllele_1724 count=2 threshold=2
G4S72XW01A6X6R,F,139,2,NewAllele_508 count=182 threshold=2
G4S72XW01ANBUU,F,1,4,NewAllele_1639 count=37 threshold=2
G4S72XW01ALRN3,F,14,1,<unidentified>
G4S72XW01AR5LO,F,40,3,NewAllele_1046 count=23 threshold=2
G4S72XW01APRTL,F,20,3,<unidentified>
G4S72XW01ATBFH,R,110,2,NewAllele_705 count=4 threshold=2
G4S72XW01AWY4Y,F,17,4,Mama_UD_01
G4S72XW01AS9TD,R,29,4,Mama_UD_01
G4S72XW01A7069,F,103,1,Mama_DRB1_01
G4S72XW01AT2EV,F,89,4,NewAllele_1334 count=3 threshold=2
G4S72XW01AZ7AU,F,121,1,<unidentified>
G4S72XW01ARR07,R,125,1,<unidentified>
G4S72XW01AJ9B7,F,9,4,NewAllele_1596 count=19 threshold=2
G4S72XW01ASUHS,F,2,1,Mama_DRB1_03
G4S72XW01ALJZL,R,33,4,Mama_UD_01
G4S72XW01AVJWM,F,87,3,<unidentified>
G4S72XW01AQZY0,F,11,3,<unidentified>
G4S72XW01AMAEP,F,15,4,Mama_UD_03
G4S72XW01ARBXT,F,59,3,NewAllele_885 count=11 threshold=2
G4S72XW01AT9Q8,F,87,3,Mama_UB_01
G4S72XW01AUTW2,R,56,3,NewAllele_1191 count=2 threshold=2
G4S72XW01AMU8D,F,96,1,Mama_DRB1_05
G4S72XW01AML35,F,136,3,Mama_UB_01
G4S72XW01BAHB6,R,116,4,Mama_UD_01
G4S72XW01A18TY,F,130,4,NewAllele_1467 count=2 threshold=2
G4S72XW01ASUXB,R,33,1,<unidentified>
G4S72XW01AS6NQ,F,22,2,NewAllele_381 count=782 threshold=2
G4S72XW01A4IVS,F,135,4,Mama_UD_01
G4S72XW01AYQHJ,F,108,3,NewAllele_746 count=2 threshold=2
G4S72XW01AK3RG,F,57,2,NewAllele_530 count=9 threshold=2
G4S72XW01AP3CH,F,11,3,NewAllele_1046 count=23 threshold=2
G4S72XW01AOG4O,F,15,4,Mama_UD_03
G4S72XW01A2EPI,F,105,2,NewAllele_530 count=9 threshold=2
G4S72XW01AT5EV,F,58,4,NewAllele_1523 count=6 threshold=2
G4S72XW01AMVN1,F,123,4,NewAllele_1334 count=3 threshold=2
G4S72XW01ANQJO,R,84,1,Mama_DRB1_08
G4S72XW01ALK2K,F,62,2,NewAllele_530 count=9 threshold=2
G4S72XW01ANXCM,R,105,2,NewAllele_381 count=782 threshold=2
G4S72XW01AMVTZ,R,98,1,Mama_DRB1_01
G4S72XW01AM404,R,47,3,Mama_UB_01
G4S72XW01AY8Q2,F,92,2,NewAllele_508 count=182 threshold=2
G4S72XW01AQ603,R,64,1,<unidentified>
G4S72XW01A0KIN,R,19,1,Mama_DRB1_07
G4S72XW01A2VFW,R,101,4,NewAllele_1260 count=9 threshold=2
G4S72XW01AR8AE,F,85,1,Mama_DRB1_01
G4S72XW01AYNTQ,F,66,3,<unidentified>
G4S72XW01A39NR,F,6,2,Mama_DRB2_01
G4S72XW01APC3S,F,52,4,NewAllele_1409 count=3 threshold=2
G4S72XW01AQWFC,R,100,2,NewAllele_381 count=782 threshold=2
G4S72XW01AVHHT,F,87,1,Mama_DRB1_01
G4S72XW01AS0PR,F,83,1,Mama_DRB1_02
G4S72XW01ANA95,F,90,4,Mama_UD_01
G4S72XW01A21A0,F,10,3,NewAllele_730 count=2 threshold=2
G4S72XW01ANYNS,R,71,3,<unidentified>
G4S72XW01AVB3Y,F,57,1,<unidentified>
G4S72XW01AR2KM,F,6,3,Mama_UB_02
G4S72XW01AKL5V,F,112,4,Mama_UD_01
G4S72XW01AXEN4,R,124,4,NewAllele_1334 count=3 threshold=2
G4S72XW01ANBS9,R,25,1,<unidentified>
G4S72XW01AMJTK,F,67,2,NewAllele_221 count=591 threshold=2
G4S72XW01A97UI,R,104,1,Mama_DRB1_02
G4S72XW01AOYTZ,R,65,3,Mama_UB_01
G4S72XW01A0KM2,F,3,1,Mama_DRB1_02
G4S72XW01AT6KC,F,90,3,<unidentified>
G4S72XW01ARZ6O,F,15,3,<unidentified>
G4S72XW01A6ZCU,R,3,3,Mama_UB_01
G4S72XW01A3ICG,R,101,1,Mama_DRB1_02
G4S72XW01AQQDD,R,120,3,NewAllele_852 count=38 threshold=2
G4S72XW01AL9TR,F,123,4,NewAllele_1273 count=4 threshold=2
G4S72XW01AZIFH,F,100,3,NewAllele_929 count=3 threshold=2
G4S72XW01AVJ9Y,R,3,4,NewAllele_1369 count=3 threshold=2
G4S72XW01AJQWA,F,108,2,Mama_DRB2_01
G4S72XW01A9SG8,R,37,3,Mama_UB_01
G4S72XW01ANKEZ,R,35,3,NewAllele_1156 count=8 threshold=2
G4S72XW01AQLMF,F,101,2,NewAllele_555 count=12 threshold=2
G4S72XW01APOGJ,F,109,2,NewAllele_381 count=782 threshold=2
G4S72XW01AUK09,F,38,2,NewAllele_207 count=4 threshold=2
G4S72XW01ARMG5,F,1,2,NewAllele_176 count=297 threshold=2
G4S72XW01AKIJS,R,128,3,NewAllele_855 count=6 threshold=2
G4S72XW01A3JRW,R,127,1,Mama_DRB1_01
G4S72XW01AM19V,F,35,3,NewAllele_760 count=6 threshold=2
G4S72XW01A731Q,R,98,2,NewAllele_381 count=782 threshold=2
G4S72XW01AM09L,R,74,4,NewAllele_1544 count=3 threshold=2
G4S72XW01A84LL,R,101,3,Mama_UB_01
G4S72XW01A27H7,R,19,4,NewAllele_1380 count=4 threshold=2
G4S72XW01APBMU,F,81,1,Mama_DRB1_08
G4S72XW01A0OPH,R,114,4,NewAllele_1334 count=3 threshold=2
G4S72XW01AXICD,F,2,3,NewAllele_885 count=11 threshold=2
G4S72XW01A5YAG,F,98,4,Mama_UD_01
G4S72XW01AV553,F,133,4,Mama_UD_01
G4S72XW01A8GWU,F,20,4,NewAllele_1639 count=37 threshold=2
G4S72XW01AY95Z,F,39,3,<unidentified>
G4S72XW01AL6ML,R,114,1,Mama_DRB1_01
G4S72XW01AMSWG,F,2,1,Mama_DRB1_01
G4S72XW01AXHJX,R,1,3,Mama_UB_01
G4S72XW01AJ6L3,F,87,1,Mama_DRB1_01
G4S72XW01AZ3MX,F,107,2,NewAllele_508 count=182 threshold=2
G4S72XW01AL6LV,R,51,1,<unidentified>
G4S72XW01APO6H,F,34,3,NewAllele_1046 count=23 threshold=2
G4S72XW01ANFO6,F,138,2,NewAllele_399 count=2 threshold=2
G4S72XW01ATQWH,F,106,2,NewAllele_381 count=782 threshold=2
G4S72XW01AS6U6,F,118,4,Mama_UD_03
G4S72XW01AQOIX,F,55,3,Mama_UB_02
G4S72XW01AS5V4,F,33,2,NewAllele_507 count=7 threshold=2
G4S72XW01AROJ7,F,102,3,NewAllele_885 count=11 threshold=2
G4S72XW01APXPQ,F,54,3,<unidentified>
G4S72XW01A234K,R,106,2,NewAllele_290 count=7 threshold=2
G4S72XW01ALGOK,F,130,3,NewAllele_1046 count=23 threshold=2
G4S72XW01ARPDI,R,133,3,Mama_UB_02
G4S72XW01AVR6U,F,135,1,Mama_DRB1_01
G4S72XW01AYXSQ,R,79,4,NewAllele_1552 count=13 threshold=2
G4S72XW01AP2I1,R,131,1,<unidentified>
G4S72XW01APUGT,F,133,3,NewAllele_926 count=4 threshold=2
G4S72XW01AMFGO,F,100,1,Mama_DRB1_04
G4S72XW01APM0G,F,72,4,NewAllele_1639 count=37 threshold=2
G4S72XW01AVN9O,F,69,1,<unidentified>
G4S72XW01A0AG6,F,38,1,<unidentified>
G4S72XW01A2YWT,R,98,3,Mama_UB_01
G4S72XW01ARSNH,F,57,3,<unidentified>
G4S72XW01AQ8Z1,F,133,2,NewAllele_530 count=9 threshold=2
G4S72XW01AOZIQ,R,57,4,NewAllele_1334 count=3 threshold=2
G4S72XW01AXEZN,R,141,4,Mama_UD_01
G4S72XW01ALX54,R,10,2,NewAllele_178 count=5 threshold=2
G4S72XW01AML74,R,87,4,NewAllele_1334 count=3 threshold=2
G4S72XW01ARFAW,R,80,3,Mama_UB_01
G4S72XW01AN7EG,F,116,3,NewAllele_1156 count=8 threshold=2
G4S72XW01AMH2Q,F,68,2,NewAllele_555 count=12 threshold=2
G4S72XW01ARO3D,R,80,4,NewAllele_1369 count=3 threshold=2
G4S72XW01A4CEY,F,25,1,<unidentified>
G4S72XW01AQJ39,R,127,3,NewAllele_940 count=8 threshold=2
G4S72XW01AV09H,R,85,4,NewAllele_1334 count=3 threshold=2
G4S72XW01AVMHR,F,15,4,Mama_UD_01
G4S72XW01AM50Q,R,101,4,Mama_UD_01
G4S72XW01AYPTC,F,95,4,NewAllele_1669 count=5 threshold=2
G4S72XW01AXEXV,F,84,3,Mama_UB_01
G4S72XW01AO9O6,F,32,1,Mama_DRB1_01
G4S72XW01AQQJB,F,15,3,NewAllele_895 count=9 threshold=2
G4S72XW01A6MRX,R,11,2,NewAllele_381 count=782 threshold=2
G4S72XW01AMFIX,F,70,1,Mama_DRB1_03
G4S72XW01A7CMG,F,107,4,Mama_UD_03
G4S72XW01A1POU,F,54,4,Mama_UD_03
G4S72XW01ANN37,F,3,3,NewAllele_985 count=44 threshold=2
G4S72XW01ATHQW,F,55,4,Mama_UD_01
G4S72XW01AUBPT,F,70,2,NewAllele_176 count=297 threshold=2
G4S72XW01APUEZ,R,59,3,NewAllele_940 count=8 threshold=2
G4S72XW01ANADI,R,98,3,NewAllele_1018 count=3 threshold=2
G4S72XW01A3TLE,R,71,4,NewAllele_1667 count=3 threshold=2
G4S72XW01AQR0Y,R,11,3,<unidentified>
G4S72XW01AL869,R,27,2,NewAllele_530 count=9 threshold=2
G4S72XW01AY0UV,F,2,2,NewAllele_507 count=7 threshold=2
G4S72XW01A2RX6,R,76,3,NewAllele_1036 count=17 threshold=2
G4S72XW01AK7K2,F,69,1,<unidentified>
G4S72XW01AMSQJ,R,45,1,NewAllele_73 count=2 threshold=2
G4S72XW01AS64N,F,89,4,NewAllele_1334 count=3 threshold=2
G4S72XW01AT2B0,R,50,3,<unidentified>
G4S72XW01ALWR0,R,41,2,NewAllele_221 count=591 threshold=2
G4S72XW01AOS5P,F,114,3,Mama_UB_01
G4S72XW01A2BMQ,F,114,4,Mama_UD_01
G4S72XW01AYDS4,F,60,4,NewAllele_1258 count=9 threshold=2
G4S72XW01A7E75,F,57,2,NewAllele_530 count=9 threshold=2
G4S72XW01AW8QZ,R,2,2,NewAllele_200 count=3 threshold=2
G4S72XW01ARN7Q,R,103,4,NewAllele_1369 count=3 threshold=2
G4S72XW01A0W74,F,22,1,<unidentified>
G4S72XW01ANJ36,F,34,4,NewAllele_1453 count=3 threshold=2
G4S72XW01A3N9D,F,67,3,<unidentified>
G4S72XW01ALYRZ,R,112,3,Mama_UB_01
G4S72XW01AR8FS,F,109,2,NewAllele_381 count=782 threshold=2
G4S72XW01AYM12,R,46,2,NewAllele_530 count=9 threshold=2
G4S72XW01A4IWY,F,133,1,<unidentified>
G4S72XW01AOZH5,F,61,1,<unidentified>
G4S72XW01AMIG3,F,127,4,NewAllele_1626 count=4 threshold=2
G4S72XW01A1W85,R,76,4,NewAllele_1334 count=3 threshold=2
G4S72XW01AULIM,F,129,1,Mama_DRB1_02
G4S72XW01AS4P3,R,15,3,Mama_UB_01
G4S72XW01AMOAH,F,102,1,<unidentified>
G4S72XW01ATEBP,F,109,2,NewAllele_221 count=591 threshold=2
G4S72XW01AMMKI,R,98,1,Mama_DRB1_01
G4S72XW01A42S5,R,101,4,NewAllele_1369 count=3 threshold=2
G4S72XW01APNHX,F,117,1,Mama_DRB1_03
G4S72XW01AZ791,R,135,3,<unidentified>
G4S72XW01ATTKH,R,80,3,NewAllele_1219 count=4 threshold=2
G4S72XW01APS8W,F,127,4,Mama_UD_02
G4S72XW01A4MLK,F,85,1,Mama_DRB1_01
G4S72XW01ANBLG,F,126,4,NewAllele_1381 count=3 threshold=2
G4S72XW01AO3D5,R,108,3,NewAllele_852 count=38 threshold=2
G4S72XW01ANYI8,F,140,2,NewAllele_176 count=297 threshold=2
G4S72XW01ARFQ7,R,89,4,Mama_UD_01
G4S72XW01AZCHJ,R,19,4,NewAllele_1334 count=3 threshold=2
G4S72XW01AQUNN,R,54,2,NewAllele_540 count=5 threshold=2
G4S72XW01AQJLS,F,87,3,Mama_UB_01
G4S72XW01AL6PR,F,48,2,NewAllele_682 count=4 threshold=2
G4S72XW01APXRA,R,25,2,NewAllele_381 count=782 threshold=2
G4S72XW01AMC5T,R,57,4,NewAllele_1334 count=3 threshold=2
G4S72XW01AYP95,R,104,3,Mama_UB_01
G4S72XW01AMY2W,R,116,3,<unidentified>
